,title,price,year,link,type,age
0,2024 hyper wizard custom bmx build,2400,2024.0,https://charlottesville.craigslist.org/bik/d/charlottesville-2024-hyper-wizard/7824223352.html,bmx,1.0
1,giant roam 2 bicycle,190,,https://charlottesville.craigslist.org/bik/d/charlottesville-giant-roam-bicycle/7824152667.html,missing,
2,1985 panasonic team america vintage bike w/dura ace components,450,1985.0,https://charlottesville.craigslist.org/bik/d/charlottesville-1985-panasonic-team/7823927825.html,vintage,40.0
3,2 trek navigator 200 mountain bikes,250,,https://charlottesville.craigslist.org/bik/d/maidens-trek-navigator-200-mountain/7823788208.html,mountain,
4,"garneau gros louis 2 fat tire bike - $1,200 obo",1200,,https://charlottesville.craigslist.org/bik/d/charlottesville-garneau-gros-louis-fat/7823547395.html,fat,
5,"surly ice cream truck fat tire bike - $1,500",1500,,https://charlottesville.craigslist.org/bik/d/charlottesville-surly-ice-cream-truck/7823547644.html,fat,
6,electra townie s 2200,200,,https://charlottesville.craigslist.org/bik/d/palmyra-electra-townie-2200/7818711250.html,missing,
7,"framed minnesota fat tire bike (sm/med women's) - $1,000 obo",1000,,https://charlottesville.craigslist.org/bik/d/charlottesville-framed-minnesota-fat/7823546639.html,fat,
8,girls beach cruiser bicycle,60,,https://charlottesville.craigslist.org/bik/d/charlottesville-girls-beach-cruiser/7823476416.html,cruiser,
9,boys beach cruiser,60,,https://charlottesville.craigslist.org/bik/d/charlottesville-boys-beach-cruiser/7823475933.html,cruiser,
10,gotrax electric bike,750,,https://charlottesville.craigslist.org/bik/d/charlottesville-gotrax-electric-bike/7823465881.html,electric,
11,rallye descent mountain bike,85,,https://charlottesville.craigslist.org/bik/d/charlottesville-rallye-descent-mountain/7823447235.html,mountain,
12,2016 fuji gran fondo disc 2.2 - upgraded,900,2016.0,https://charlottesville.craigslist.org/bik/d/batesville-2016-fuji-gran-fondo-disc-22/7823396188.html,missing,9.0
13,pivot cycles mach 429 al medium full suspension mountain bike,750,,https://charlottesville.craigslist.org/bik/d/crozet-pivot-cycles-mach-429-al-medium/7818725504.html,mountain,
14,gotrax tundra fat tire ebike brand new,750,,https://charlottesville.craigslist.org/bik/d/charlottesville-gotrax-tundra-fat-tire/7822451874.html,fat,
15,2022 turbo creo sl comp carbon evo,4200,2022.0,https://charlottesville.craigslist.org/bik/d/charlottesville-2022-turbo-creo-sl-comp/7822449485.html,missing,3.0
16,women’s 12-speed raleigh bicycle,100,,https://charlottesville.craigslist.org/bik/d/charlottesville-womens-12-speed-raleigh/7821448446.html,missing,
17,unisex bicycle,45,,https://charlottesville.craigslist.org/bik/d/palmyra-unisex-bicycle/7813752913.html,missing,
18,80s fuji royale road bike,100,,https://charlottesville.craigslist.org/bik/d/charlottesville-80s-fuji-royale-road/7821297768.html,road,
19,pinarello maglianera,1400,,https://charlottesville.craigslist.org/bik/d/charlottesville-pinarello-maglianera/7821243292.html,missing,
20,schwinn frontier 17 inch boys mountain bicycle,75,,https://charlottesville.craigslist.org/bik/d/palmyra-schwinn-frontier-17-inch-boys/7813598331.html,mountain,
21,2 very nice pillows,20,,https://charlottesville.craigslist.org/bik/d/charlottesville-very-nice-pillows/7820641035.html,missing,
22,3piece duvet cover,40,,https://charlottesville.craigslist.org/bik/d/charlottesville-3piece-duvet-cover/7820452741.html,missing,
23,sashay yarn,20,,https://charlottesville.craigslist.org/bik/d/charlottesville-sashay-yarn/7820449679.html,missing,
24,"murtisol 16"" boys bike w/shock absorbers",85,,https://charlottesville.craigslist.org/bik/d/charlottesville-murtisol-16-boys-bike/7819841091.html,missing,
25,classic ego scooter,300,,https://charlottesville.craigslist.org/bik/d/barboursville-classic-ego-scooter/7819661051.html,missing,
26,trek roscoe,650,,https://charlottesville.craigslist.org/bik/d/dyke-trek-roscoe/7818206213.html,missing,
27,boosted board mini s,195,,https://charlottesville.craigslist.org/bik/d/charlottesville-boosted-board-mini/7817647128.html,missing,
28,2022 specialized status 140,1999,2022.0,https://charlottesville.craigslist.org/bik/d/charlottesville-2022-specialized-status/7811691034.html,missing,3.0
29,trek emonda s 5 2015,1950,2015.0,https://charlottesville.craigslist.org/bik/d/quinque-trek-emonda/7811340899.html,missing,10.0
30,2019 specialized roubaix - 54cm - full ultegra,1965,2019.0,https://charlottesville.craigslist.org/bik/d/charlottesville-2019-specialized/7816527331.html,missing,6.0
31,pivot cycles mach 429 al medium full suspension mountain bike,750,,https://charlottesville.craigslist.org/bik/d/crozet-pivot-cycles-mach-429-al-medium/7809134779.html,mountain,
32,cleary 20 inch unisex kids blue bike single speed hand brakes,150,,https://charlottesville.craigslist.org/bik/d/brightwood-cleary-20-inch-unisex-kids/7814805542.html,kids,
33,"trek 7300fx 7500, giant",100,,https://charlottesville.craigslist.org/bik/d/palmyra-trek-7300fx-7500-giant/7814637848.html,missing,
34,giant bike,225,,https://charlottesville.craigslist.org/bik/d/palmyra-giant-bike/7814637798.html,missing,
35,road master kids mountain bike-24 inch tires,40,,https://charlottesville.craigslist.org/bik/d/earlysville-road-master-kids-mountain/7813317622.html,road,
36,mongoose mountain bike kids-24 inch tires,50,,https://charlottesville.craigslist.org/bik/d/earlysville-mongoose-mountain-bike-kids/7813316836.html,mountain,
37,"fuji del ray ""vintage""",99,,https://charlottesville.craigslist.org/bik/d/charlottesville-fuji-del-ray-vintage/7808293328.html,missing,
38,pro form fit,185,,https://charlottesville.craigslist.org/bik/d/charlottesville-pro-form-fit/7808314160.html,missing,
39,exercise bike & mat,150,,https://charlottesville.craigslist.org/bik/d/charlottesville-exercise-bike-mat/7813039561.html,missing,
40,jamis dragon one single speed 29er mountain bike – 19” frame,2200,,https://charlottesville.craigslist.org/bik/d/nellysford-jamis-dragon-one-single/7805043537.html,mountain,
